"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1","1","Arduino_Nano_v3.x","","","","Module:Arduino_Nano","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf"
"BT1","1","Battery_Cell","","","","Battery:BatteryHolder_Keystone_1042_1x18650",""
"J1","1","AudioJack2","","","","Connector_Audio:Jack_3.5mm_CUI_SJ1-3535NG_Horizontal",""
"J2","1","USB_B_Micro","","","","Connector_USB:USB_Micro-B_Molex-105017-0001",""
"R1","1","2k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"SW1","1","SW_SPST","","","","Button_Switch_THT:SW_SPST_Omron_B3F-40xx",""
"SW2,SW3","2","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm_H5mm",""
"U1","1","TP4056-42-ESOP8","","","","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias","https://www.lcsc.com/datasheet/lcsc_datasheet_2410121619_TOPPOWER-Nanjing-Extension-Microelectronics-TP4056-42-ESOP8_C16581.pdf"
"U2","1","","","","","mp3player_footprints:DFPlayer_Mini",""
"U3","1","ER_OLEDM0.91_1x-I2C","","","","Display:ER_OLEDM0.91_1x-I2C","https://www.buydisplay.com/download/manual/ER-OLEDM0.91-1_Datasheet.pdf"
